61258863,1434982346,73.8475555555555,-27.6761944444444,155.0,0.1.3,3,1801,0,3970,0,0,0
61258865,1434984130,-33.5859444444444,-71.2183888888889,144.0,0.1.3,3,74,0,373,0,0,0
61258867,1434985930,-34.6927222222222,112.727305555556,225.0,0.1.3,3,0,0,226,0,0,0
61258869,1434987743,74.30175,67.7902222222222,208.0,0.1.3,3,2988,1,6488,0,0,0
61258871,1434989530,-6.92025,-89.1345,182.0,0.1.3,3,17,0,216,0,0,0
61258873,1434991344,-60.1204722222222,99.1578333333333,182.0,0.1.3,3,4070,1,8764,0,0,0
61258875,1434993130,48.1681944444444,67.4362222222222,237.0,0.1.3,3,1660,2,2980,0,0,0
61258877,1434994930,19.8007777777778,-107.574083333333,224.0,0.1.3,3,0,0,226,0,0,0
61258879,1434996746,-81.4101388888889,138.566638888889,221.0,0.1.3,3,5758,11,11654,0,0,0
61258881,1434998530,21.6233611111111,51.0526666666667,224.0,0.1.3,3,0,0,225,0,0,0
61258883,1435000330,46.3970555555556,-124.224222222222,223.0,0.1.3,3,0,0,226,0,0,0
61258885,1435002145,-63.6707222222222,-157.950138888889,222.0,0.1.3,3,8888,5,18163,1,0,1
61258887,1435003930,-5.05766666666667,32.6429444444444,225.0,0.1.3,3,0,0,226,0,0,0
61258889,1435005745,71.2376944444444,-130.017,170.0,0.1.3,3,3701,4,7714,0,0,1
61258891,1435007530,-36.5847777777778,-169.365555555556,233.0,0.1.3,3,92,0,344,0,0,0
61258893,1435009330,-31.69625,14.6101111111111,164.0,0.1.3,3,117,0,501,0,0,0
61258895,1435011145,76.8674444444445,-37.2247777777778,200.0,0.1.3,3,2743,1,5835,0,0,0
61258897,1435012930,-9.93669444444445,172.927277777778,225.0,0.1.3,3,0,0,225,0,0,0
61258899,1435014730,-58.0294166666667,0.529194444444445,237.0,0.1.3,3,312,0,710,0,0,0
61258901,1435016544,51.9766111111111,-31.4905277777778,199.0,0.1.3,3,2842,4,5856,0,0,0
61258903,1435018330,16.7860555555556,154.448722222222,224.0,0.1.3,3,0,0,226,0,0,0
61258905,1435020145,-80.2925277777778,23.6030277777778,197.0,0.1.3,3,2023,2,4519,0,0,0
61258907,1435021930,24.6305277777778,-46.9561111111111,225.0,0.1.3,3,0,0,225,0,0,0
61258909,1435023730,43.4115,137.405638888889,225.0,0.1.3,3,0,0,225,0,0,0
61258911,1435025545,-66.5274722222222,102.05825,151.0,0.1.3,3,716,0,1605,0,0,0
61258913,1435027330,-2.04586111111111,-65.2864722222222,225.0,0.1.3,3,0,0,225,0,0,0
61258915,1435029130,69.3221388888889,129.840444444444,210.0,0.1.3,3,49,0,291,0,0,0
61258917,1435030930,-39.5798055555556,92.4336944444444,234.0,0.1.3,3,175,0,480,0,0,0
61258919,1435032730,-28.6964166666667,-83.4675277777778,172.0,0.1.3,3,54,0,329,0,0,0
61258921,1435034530,78.4194444444445,-141.431194444444,96.0,0.1.3,3,231,0,491,0,0,0
61258923,1435036330,-12.95275,74.9805555555556,225.0,0.1.3,3,0,0,225,0,0,0
61258925,1435038130,-55.0948055555556,-98.4158888888889,223.0,0.1.3,3,0,0,226,0,0,0
61258927,1435039930,54.0952222222222,-129.796055555556,228.0,0.1.3,3,484,1,922,0,0,0
61258929,1435041730,13.7698055555556,56.4868611111111,225.0,0.1.3,3,0,0,225,0,0,0
61258931,1435043530,-79.0680277777778,-83.5053055555555,36.0,0.1.3,3,48,0,146,0,0,0
61258933,1435045330,27.6363055555556,-144.990861111111,218.0,0.1.3,3,2,0,227,0,0,0
61258935,1435047130,40.4191944444444,39.1186944444444,225.0,0.1.3,3,0,0,225,0,0,0
61258937,1435048930,-68.4888055555556,2.52355555555556,237.0,0.1.3,3,631,1,1140,0,0,0
61258939,1435050730,0.966555555555556,-163.214305555556,225.0,0.1.3,3,0,0,225,0,0,0
61258943,1435054330,-42.5701388888889,-5.83177777777778,234.0,0.1.3,3,56,0,3131,0,0,0
61258945,1435056130,-25.69375,178.487833333333,225.0,0.1.3,3,0,0,225,0,0,0
61258947,1435057930,80.2700555555556,107.901222222222,58.0,0.1.3,3,138,0,308,0,0,0
61258949,1435059739,-16.5171388888889,-23.1026666666667,228.0,0.1.3,3,2729,1,9976,0,0,0
61258987,1435599730,16.9795833333333,67.212,207.0,0.1.3,3,24,0,424,0,0,0
61258993,1435605130,-9.69452777777778,48.7278888888889,206.0,0.1.3,3,22,0,438,0,0,0
61258995,1435606930,76.0235277777778,-104.001444444444,238.0,0.1.3,3,26973,78,35436,29,2,345
61258997,1435608730,-32.0115,-152.982777777778,237.0,0.1.3,3,995,0,2624,0,0,0
61258999,1435610530,-36.2953888888889,30.9912777777778,209.0,0.1.3,3,1039,12,1765,3,0,1
61259001,1435612330,72.1875,-9.93872222222222,217.0,0.1.3,3,273,2,515,1,0,1
61259003,1435614130,-5.33525,-170.99225,237.0,0.1.3,3,50,0,481,0,0,0
61259005,1435615934,-62.2454444444444,18.5033611111111,42.0,0.1.3,3,130,0,549,0,0,126
61259007,1435617730,46.5566944444444,-14.1340277777778,235.0,0.1.3,3,2655,4,4684,0,0,4
61259009,1435619530,21.3915,170.599722222222,232.0,0.1.3,3,52,0,486,0,0,0
61259011,1435621330,-81.6129444444444,74.0655,238.0,0.1.3,3,64164,470,68195,293,26,4829
61259013,1435623130,19.9981944444444,-30.7669444444444,232.0,0.1.3,3,61,0,479,0,0,0
61259015,1435624930,47.9799722222222,154.192805555556,238.0,0.1.3,3,51,0,462,0,0,0
61259017,1435626730,-61.2839444444444,121.735194444444,218.0,0.1.3,3,249,0,660,0,0,0
61259019,1435628534,-6.43105555555556,-49.26325,216.0,0.1.3,3,661,7,1003,1,0,2
61259021,1435630334,73.2658611111111,151.563944444444,225.0,0.1.3,3,17002,7,27797,0,0,2
61259023,1435632130,-35.0228611111111,108.892083333333,238.0,0.1.3,3,68978,125,90366,31,3,368
61259025,1435633934,-33.0496944444444,-67.2198611111111,234.0,0.1.3,3,129455,1196,143378,379,23,3361
61259027,1435635730,74.8113055555556,-112.982388888889,232.0,0.1.3,3,255,1,587,0,0,0
61259029,1435637530,-8.3635,91.0711388888889,234.0,0.1.3,3,48,0,501,0,0,0
61259031,1435639330,-59.5693055555556,-80.6941388888889,228.0,0.1.3,3,209,0,5227,0,0,0
61259033,1435641134,49.78125,-112.717444444444,209.0,0.1.3,3,57936,141,74837,35,4,601
61259035,1435642930,18.3654166666667,72.611,206.0,0.1.3,3,32,0,379,0,0,0
61259037,1435644734,-81.2208611111111,-45.51975,128.33333333333334,0.1.3,3,134638,1273,135821,1036,102,16526
